"";"icao";"uf";"ibge";"long";"lat";"nat.centrality";"nat.module";"int.centrality";"int.module";"nat.degree";"int.degree";"dif.degree";"nat.strength";"int.strength";"dif.strength";"nat.fligths";"int.fligths";"n.nat.fligths";"n.int.fligths"
"1";"SBAC";"CE";2301109;-37,78333333;-4,55;0,000223288807242445;9;0,0002213011914579;11;5;5;0;28;28;0;"YES";"NO";28;0
"2";"SBAE";"SP";3503406;-49,068;-22,158;0,024469314888969;2;0,02397230984556;1;11;11;0;474;474;0;"YES";"NO";474;0
"3";"SBAQ";"SP";3503208;-48,13299942;-21,81200027;0,000345131888428863;2;0,000339295890252197;1;2;2;0;16;16;0;"YES";"NO";16;0
"4";"SBAR";"SE";2800308;-37,07030106;-10,98400021;0,0354640428364798;2;0,0355814450042546;3;16;16;0;927;927;0;"YES";"NO";927;0
"5";"SBAT";"MT";5100250;-56,10499954;-9,866389275;0,000489383606646408;6;0,000482426384243096;8;2;2;0;60;60;0;"YES";"NO";60;0
"6";"SBAU";"SP";3502804;-50,42470169;-21,1413002;0,00865482168600068;2;0,00854999106595536;3;6;6;0;248;248;0;"YES";"NO";248;0
"7";"SBAX";"MG";3104007;-46,96039963;-19,5632;0,000384906661829782;11;0,000373212360464873;1;2;2;0;10;10;0;"YES";"NO";10;0
"8";"SBBE";"PA";1501402;-48,47629929;-1,37925005;0,049045411355815;1;0,0492629105821802;5;33;45;12;2456;2590;134;"YES";"YES";2456;134
"9";"SBBG";"RS";4301602;-54,11220169;-31,39049911;0,00183965046011388;2;0,00180973354635887;1;2;2;0;53;53;0;"YES";"NO";53;0
"10";"SBBH";"MG";3106200;-43,95059967;-19,8512001;0,000986024742925943;2;0,000967565777984398;1;11;11;0;33;33;0;"YES";"NO";33;0
"11";"SBBR";"DF";5300108;-47,92083359;-15,86916733;0,307381962700455;2;0,302403327711215;3;79;100;21;10289;10688;399;"YES";"YES";10289;399
"12";"SBBT";"SP";3505500;-48,59410095;-20,58449936;1,71358735696485e-20;12;7,02782899322527e-06;23;0;1;1;0;1;1;"YES";"YES";0;1
"13";"SBBV";"RR";1400100;-60,6922226;2,841388941;0,00603508606100122;1;0,00588127580597877;2;8;9;1;223;224;1;"YES";"YES";223;1
"14";"SBBW";"MT";5101803;-52,38890076;-15,86130047;0,000369695803886802;6;0,000360656797420203;8;4;4;0;34;34;0;"YES";"NO";34;0
"15";"SBCA";"PR";4104808;-53,50080109;-25,00029945;0,0123629873944366;2;0,0124066097277894;1;13;13;0;368;368;0;"YES";"NO";368;0
"16";"SBCB";"RJ";3300704;-42,07429886;-22,92169952;0,00339329529839325;2;0,00337973144543299;1;11;14;3;89;94;5;"YES";"YES";89;5
"17";"SBCF";"MG";3117876;-43,9719429;-19,62444305;0,273273775199261;2;0,268682330070945;1;92;104;12;8347;8594;247;"YES";"YES";8347;247
"18";"SBCG";"MS";5002704;-54,67250061;-20,46870041;0,0424279611892367;2;0,0420656012089695;1;18;18;0;998;998;0;"YES";"NO";998;0
"19";"SBCH";"SC";4204202;-52,65660095;-27,13419914;0,0117741763931972;2;0,0119710508110812;1;8;8;0;371;371;0;"YES";"NO";371;0
"20";"SBCJ";"PA";1505536;-50,00138855;-6,115277767;0,00368323231848196;1;0,0035791401662027;5;5;5;0;140;140;0;"YES";"NO";140;0
"21";"SBCN";"GO";5204508;-48,60749817;-17,72529984;0,00533744957095419;2;0,00515558550364647;1;8;8;0;106;106;0;"YES";"NO";106;0
"22";"SBCP";"RJ";3301009;-41,30170059;-21,69829941;0,000250682280704333;2;0,000258190871255942;1;3;3;0;28;28;0;"YES";"NO";28;0
"23";"SBCR";"MS";5003207;-57,67139053;-19,01194382;0,000905971207125766;10;0,000890651711912019;12;3;3;0;42;42;0;"YES";"NO";42;0
"24";"SBCT";"PR";4125506;-49,17580032;-25,5284996;0,19946668980613;2;0,197943876486203;1;62;71;9;5352;5535;183;"YES";"YES";5352;183
"25";"SBCX";"RS";4305108;-51,1875;-29,19709969;0,00857912929920557;2;0,00823629129689159;1;5;5;0;168;168;0;"YES";"NO";168;0
"26";"SBCY";"MT";5108402;-56,11669922;-15,65289974;0,057908283995024;6;0,0578845802626875;8;50;50;0;2069;2069;0;"YES";"NO";2069;0
"27";"SBCZ";"AC";1200203;-72,76950073;-7,599909782;8,8149118554025e-05;3;8,6013189084449e-05;6;5;5;0;64;64;0;"YES";"NO";64;0
"28";"SBDB";"MS";5002209;-56,452499;-21,247299;4,84903661399139e-06;10;4,70119663296952e-06;12;3;3;0;38;38;0;"YES";"NO";38;0
"29";"SBDN";"SP";3541406;-51,42459869;-22,17510033;0,0123638622262382;2;0,0120915441392663;1;9;9;0;310;310;0;"YES";"NO";310;0
"30";"SBDO";"MS";5003702;-54,42555556;-22,20055556;0,00929044439496625;2;0,00893791993476066;1;5;5;0;211;211;0;"YES";"NO";211;0
"31";"SBEG";"AM";1302603;-60,04970169;-3,038609982;0,0545755315544273;1;0,0554328607490082;2;51;68;17;2361;2597;236;"YES";"YES";2361;236
"32";"SBFI";"PR";4108304;-54,48500061;-25,60027885;0,0585290743774656;2;0,0595311234245442;3;24;31;7;1482;1561;79;"YES";"YES";1482;79
"33";"SBFL";"SC";4205407;-48,55250168;-27,67027855;0,112468931949668;2;0,114577603505149;1;28;46;18;2510;2831;321;"YES";"YES";2510;321
"34";"SBFN";"PE";2605459;-32,423302;-3,85493;0,00690112850857036;4;0,00684204196898513;3;4;4;0;324;324;0;"YES";"NO";324;0
"35";"SBFZ";"CE";2304400;-38,5326004;-3,776279926;0,119783928596339;4;0,120933142071217;3;33;49;16;4148;4364;216;"YES";"YES";4148;216
"36";"SBGL";"RJ";3304557;-43,25055695;-22,80999947;0,16811223083318;2;0,176376578442172;3;70;130;60;6001;8120;2119;"YES";"YES";6001;2119
"37";"SBGO";"GO";5208707;-49,22069931;-16,63199997;0,0943451139225275;2;0,0927933470402877;1;39;39;0;2291;2291;0;"YES";"NO";2291;0
"38";"SBGP";"SP";3516853;-48,40510178;-21,77370071;1,71358735696485e-20;13;0;24;1;1;0;1;1;0;"YES";"NO";1;0
"39";"SBGR";"SP";3518800;-46,47305679;-23,43555641;0,377063107124002;2;0,393504678071478;3;114;220;106;19410;25510;6100;"YES";"YES";19410;6100
"40";"SBGV";"MG";3127701;-41,98220062;-18,89520073;0,00200151464151487;2;0,00194070427441734;1;2;2;0;52;52;0;"YES";"NO";52;0
"41";"SBHT";"PA";1500602;-52,25400162;-3,253910065;0,000866099744164456;8;0,00085794296923957;5;8;8;0;155;155;0;"YES";"NO";155;0
"42";"SBIH";"PA";1503606;-56,0007019;-4,242340088;0,000171553247502558;8;0,000171780902769485;5;4;4;0;42;42;0;"YES";"NO";42;0
"43";"SBIL";"BA";2913606;-39,03319931;-14,81599998;0,0238819818447759;2;0,0235258579493383;1;15;15;0;510;510;0;"YES";"NO";510;0
"44";"SBIP";"MG";3158953;-42,48759842;-19,47069931;0,00828014404921094;2;0,00802915650022982;1;3;3;0;217;217;0;"YES";"NO";217;0
"45";"SBIZ";"MA";2105302;-47,459999;-5,53129;0,00636654013838831;4;0,00636827653792863;3;8;8;0;239;239;0;"YES";"NO";239;0
"46";"SBJA";"SC";4208807;-49,0596;-28,6753;0,00539662797368184;2;0,00519336011004986;1;7;7;0;121;121;0;"YES";"NO";121;0
"47";"SBJD";"SP";3525904;-46,944408;-23,180369;0,000133589672522985;2;0,000127585318022277;1;6;6;0;7;7;0;"YES";"NO";7;0
"48";"SBJE";"CE";2304251;-40,35805556;-2,906666667;0,00538671011719841;2;0,00544626060183373;1;7;7;0;116;116;0;"YES";"NO";116;0
"49";"SBJI";"RO";1100122;-61,84666667;-10,87055556;0,000489383606646408;6;0,000482426384243095;8;2;2;0;60;60;0;"YES";"NO";60;0
"50";"SBJP";"PB";2501807;-34,94861221;-7,145833015;0,038518297987417;2;0,0389327618072064;3;15;16;1;1013;1017;4;"YES";"YES";1013;4
"51";"SBJR";"RJ";3304557;-43,369999;-22,987499;0,00665561991243318;2;0,00635850450095744;1;3;3;0;107;107;0;"YES";"NO";107;0
"52";"SBJU";"CE";2307304;-39,27009964;-7,218959808;0,0139164503230573;4;0,0141134399915967;3;9;9;0;431;431;0;"YES";"NO";431;0
"53";"SBJV";"SC";4209102;-48,79740143;-26,22450066;0,0216230057491687;2;0,0213421810614506;1;9;9;0;467;467;0;"YES";"NO";467;0
"54";"SBKG";"PB";2504009;-35,8964;-7,26992;0,00544641732823103;4;0,00551160542856358;3;4;4;0;169;169;0;"YES";"NO";169;0
"55";"SBKP";"SP";3509502;-47,1344986;-23,00740051;0,153146696728119;2;0,152665780989448;1;126;164;38;8156;9078;922;"YES";"YES";8156;922
"56";"SBLE";"BA";2919306;-41,27700043;-12,4822998;0,000475310909158528;2;0,000469045865944504;3;2;2;0;18;18;0;"YES";"NO";18;0
"57";"SBLJ";"SC";4209300;-50,28150177;-27,78210068;0,00134855632153123;2;0,00131977598431831;1;2;2;0;48;48;0;"YES";"NO";48;0
"58";"SBLO";"PR";4113700;-51,13010025;-23,33359909;0,033652422767436;2;0,0328651470831874;1;17;17;0;820;820;0;"YES";"NO";820;0
"59";"SBMA";"PA";1504208;-49,13800049;-5,368589878;0,00577196110844405;1;0,00561353195494254;5;4;4;0;214;214;0;"YES";"NO";214;0
"60";"SBMD";"PA";1500503;-52,6022;-0,889839;0,000165793345220369;14;0,000164228384979905;25;2;2;0;24;24;0;"YES";"NO";24;0
"61";"SBME";"RJ";3302403;-41,76599884;-22,34300041;0,00548094731276296;2;0,00527761149853577;1;6;6;0;100;100;0;"YES";"NO";100;0
"62";"SBMG";"PR";4115200;-52,01222229;-23,4794445;0,0295686776605638;2;0,0291622115434946;1;13;13;0;748;748;0;"YES";"NO";748;0
"63";"SBMK";"MG";3143302;-43,81890106;-16,70689964;0,0115883246321046;2;0,0114098128129212;1;7;7;0;291;291;0;"YES";"NO";291;0
"64";"SBML";"SP";3529005;-49,92639923;-22,19689941;0,00555700926527721;2;0,00536883150686806;1;5;5;0;153;153;0;"YES";"NO";153;0
"65";"SBMO";"AL";2704302;-35,79169846;-9,510809898;0,0577011794890175;2;0,0578473994876642;3;28;29;1;1445;1449;4;"YES";"YES";1445;4
"66";"SBMQ";"AP";1600303;-51,07220078;0,050664;0,00611591689122522;1;0,00598074019082272;5;8;8;0;408;408;0;"YES";"NO";408;0
"67";"SBMS";"RN";2408003;-37,36429977;-5,201920033;0,00100525161544961;9;0,000996603634812959;11;5;5;0;54;54;0;"YES";"NO";54;0
"68";"SBNF";"SC";4211306;-48,651402;-26,879999;0,0685228356640958;2;0,0674546722727013;1;17;17;0;1382;1382;0;"YES";"NO";1382;0
"69";"SBNM";"RS";4317509;-54,169102;-28,2817;0,00122643364007592;2;0,00120648903090591;1;2;2;0;36;36;0;"YES";"NO";36;0
"70";"SBPA";"RS";4314902;-51,17139816;-29,99440002;0,241871157125081;2;0,241270355528254;1;55;73;18;5736;6162;426;"YES";"YES";5736;426
"71";"SBPB";"PI";2207702;-41,73199844;-2,893749952;0,000258848916321647;15;0,000254471917689148;3;2;2;0;12;12;0;"YES";"NO";12;0
"72";"SBPF";"RS";4314100;-52,326599;-28,243999;0,00940850510259082;2;0,00952706123550547;1;8;8;0;257;257;0;"YES";"NO";257;0
"73";"SBPG";"PR";4119905;-50,14444444;-25,18777778;0,000863906876247975;2;0,00084567963064002;1;3;3;0;35;35;0;"YES";"NO";35;0
"74";"SBPJ";"TO";1721000;-48,35699844;-10,29150009;0,0144860509732016;2;0,0144454614870589;3;9;10;1;433;434;1;"YES";"YES";433;1
"75";"SBPK";"RS";4314407;-52,327702;-31,718399;0,00170370634879673;2;0,00167599576278747;1;3;3;0;52;52;0;"YES";"NO";52;0
"76";"SBPL";"PE";2611101;-40,56909943;-9,362409592;0,0117373254184688;4;0,0118443369287835;3;11;12;1;402;405;3;"YES";"YES";402;3
"77";"SBPO";"PR";4118501;-52,69416667;-26,21777778;0,00134855632153123;2;0,00131977598431832;1;2;2;0;48;48;0;"YES";"NO";48;0
"78";"SBPS";"BA";2925303;-39,080898;-16,438601;0,0622120090535468;2;0,062098763510098;1;42;46;4;1532;1556;24;"YES";"YES";1532;24
"79";"SBPV";"RO";1100205;-63,90230179;-8,709289551;0,0125574648229272;1;0,012409301061996;2;13;13;0;468;468;0;"YES";"NO";468;0
"80";"SBRB";"AC";1200401;-67,89805603;-9,868888855;0,00977868662578447;3;0,00967538295056423;6;9;9;0;296;296;0;"YES";"NO";296;0
"81";"SBRD";"MT";5107602;-54,72222222;-16,58862778;0,00099225417923298;2;0,000975475684475069;1;2;2;0;46;46;0;"YES";"NO";46;0
"82";"SBRF";"PE";2611606;-34,92359924;-8,126489639;0,156719825397765;4;0,157524844740304;3;67;92;25;6086;6354;268;"YES";"YES";6086;268
"83";"SBRJ";"RJ";3304557;-43,1631012;-22,91049957;0,412795860845782;2;0,400049885048515;1;38;38;0;8757;8757;0;"YES";"NO";8757;0
"84";"SBRP";"SP";3543402;-47,77666855;-21,13638878;0,0677259780737239;2;0,0663630070426219;1;39;39;0;1613;1613;0;"YES";"NO";1613;0
"85";"SBSG";"RN";2412005;-35,376111;-5,768056;0,0577756125315308;4;0,0585830797614725;3;28;33;5;1679;1731;52;"YES";"YES";1679;52
"86";"SBSI";"MT";5107909;-55,58611111;-11,885;0,00508074136293812;6;0,00514392237460203;8;7;7;0;210;210;0;"YES";"NO";210;0
"87";"SBSJ";"SP";3549904;-45,86149979;-23,22920036;0,00185070502548184;2;0,00188974728688975;3;9;9;0;68;68;0;"YES";"NO";68;0
"88";"SBSL";"MA";2111300;-44,23410034;-2,58536005;0,029760067630486;4;0,029722751469962;3;21;21;0;1074;1074;0;"YES";"NO";1074;0
"89";"SBSM";"RS";4316907;-53,688202;-29,711399;0,00163524485343456;2;0,00160865204120788;1;2;2;0;48;48;0;"YES";"NO";48;0
"90";"SBSN";"PA";1506807;-54,78583145;-2,424721956;0,00526187674026798;1;0,00517666533452789;5;11;12;1;455;456;1;"YES";"YES";455;1
"91";"SBSO";"MT";5107925;-55,672341;-12,479177;0,000277317377099632;6;0,000273374951071087;8;2;2;0;34;34;0;"YES";"NO";34;0
"92";"SBSP";"SP";3550308;-46,65638733;-23,62611008;0,463263851768165;2;0,448782049477167;1;96;96;0;15550;15550;0;"YES";"NO";15550;0
"93";"SBSR";"SP";3549805;-49,40650177;-20,8166008;0,0285186804461672;2;0,0276473449631406;1;14;14;0;681;681;0;"YES";"NO";681;0
"94";"SBSV";"BA";2927408;-38,32249832;-12,9086113;0,187476918172647;2;0,187597002436923;3;53;71;18;5316;5539;223;"YES";"YES";5316;223
"95";"SBTB";"PA";1505304;-56,39680099;-1,489599943;0,000261357136153309;16;0,000261796069457876;2;2;2;0;33;33;0;"YES";"NO";33;0
"96";"SBTC";"BA";2932507;-38,99900055;-15,35519981;0,00124032114100353;2;0,00120365278147587;1;11;11;0;26;26;0;"YES";"NO";26;0
"97";"SBTD";"PR";4127700;-53,697498;-24,6863;0,00117998678133983;2;0,00115480398627853;1;2;2;0;42;42;0;"YES";"NO";42;0
"98";"SBTE";"PI";2211001;-42,82350159;-5,059939861;0,0235871604795197;4;0,0234517516372737;3;14;14;0;724;724;0;"YES";"NO";724;0
"99";"SBTF";"AM";1304203;-64,72409821;-3,382940054;0,000230609310982446;17;0,000230996603186068;26;4;4;0;35;35;0;"YES";"NO";35;0
"100";"SBTG";"MS";5008305;-51,68027778;-20,75138889;0,00099225417923298;2;0,000975475684475068;1;2;2;0;47;47;0;"YES";"NO";47;0
"101";"SBTT";"AM";1304062;-69,93579865;-4,255670071;0,000461218475564662;1;0,000461993063749193;2;2;2;0;60;60;0;"YES";"NO";60;0
"102";"SBUA";"AM";1303809;-66,9855;-0,14835;0,000199861339411353;18;0,000200196994291317;2;2;2;0;24;24;0;"YES";"NO";24;0
"103";"SBUF";"BA";2924009;-38,25059891;-9,40087986;0,000441480378367189;4;0,000437618797796401;3;2;2;0;20;20;0;"YES";"NO";20;0
"104";"SBUG";"RS";4322400;-57,03820038;-29,78219986;0,00115829843784948;2;0,00113946186252225;1;3;3;0;34;34;0;"YES";"NO";34;0
"105";"SBUL";"MG";3170206;-48,225277;-18,883612;0,0388960177035737;2;0,0378930812695856;1;25;25;0;924;924;0;"YES";"NO";924;0
"106";"SBUR";"MG";3170107;-47,96611023;-19,76472282;0,00757955811072103;2;0,0073007687691232;1;8;8;0;172;172;0;"YES";"NO";172;0
"107";"SBUY";"AM";1301209;-65,35540009;-4,884220123;0,000799821588956861;5;0,000801159465044233;7;4;4;0;132;132;0;"YES";"NO";132;0
"108";"SBVC";"BA";2933307;-40,86309814;-14,86279964;0,0162968042857713;2;0,0163521240625963;3;8;8;0;456;456;0;"YES";"NO";456;0
"109";"SBVG";"MG";3170701;-45,47330093;-21,59009933;0,000692831991293608;2;0,000671782248836772;1;2;2;0;18;18;0;"YES";"NO";18;0
"110";"SBVH";"RO";1100304;-60,09830093;-12,69439983;0,000456758032869981;6;0,000450264625293556;8;2;2;0;56;56;0;"YES";"NO";56;0
"111";"SBVT";"ES";3205309;-40,286388;-20,258057;0,10644229918774;2;0,10454942476072;1;25;26;1;2297;2302;5;"YES";"YES";2297;5
"112";"SBZM";"MG";3127388;-43,173;21,513;0,00529019017793561;2;0,00511025995158415;1;5;5;0;144;144;0;"YES";"NO";144;0
"113";"SDIY";"SP";3548708;-46,56166667;-23,69888889;0,000176592151346876;19;0,00017504751911856;3;2;2;0;8;8;0;"YES";"NO";8;0
"114";"SDSC";"SP";3548906;-47,903703;-21,875401;0,00115931942678402;2;0,00116071438668263;3;4;5;1;22;23;1;"YES";"YES";22;1
"115";"SIMK";"SP";3516200;-47,3829;-20,592199;0,00548110539240341;2;0,00523642172627055;1;4;4;0;88;88;0;"YES";"NO";88;0
"116";"SJHG";"MT";5103353;-51,56359863;-10,63440037;4,59535509280862e-08;20;4,46745366913396e-08;30;1;1;0;1;1;0;"YES";"NO";1;0
"117";"SJRG";"RS";4315602;-52,163;-32,082;0,00218032647124608;2;0,00214486938827717;1;2;2;0;57;57;0;"YES";"NO";57;0
"118";"SNBA";"SP";3505500;-48,59583333;-20,58555556;0,00548106776013894;2;0,00523638628187218;1;2;2;0;84;84;0;"YES";"NO";84;0
"119";"SNBR";"BA";2903201;-45,00899887;-12,07890034;0,00600078547860455;2;0,00584711596981039;3;6;6;0;168;168;0;"YES";"NO";168;0
"120";"SNMZ";"PA";1505908;-52,236;-1,741;1,89454323390083e-09;21;1,82517508235932e-09;31;2;2;0;24;24;0;"YES";"NO";24;0
"121";"SNTF";"BA";2931350;-39,66849899;-17,52449989;0,00198629424236394;2;0,00193230536524264;1;4;4;0;56;56;0;"YES";"NO";56;0
"122";"SNVB";"BA";2932903;-38,992401;-13,2965;0,000307925329463825;22;0,000298569888371899;1;2;2;0;8;8;0;"YES";"NO";8;0
"123";"SNVS";"PA";1501808;-50,4435997;-1,636530042;6,40432292600719e-12;23;6,08460888581636e-12;32;2;2;0;24;24;0;"YES";"NO";24;0
"124";"SNYA";"PA";1500503;-52,578;-1,492;5,60448624233904e-07;24;5,47490233816058e-07;33;2;2;0;24;24;0;"YES";"NO";24;0
"125";"SSCP";"MG";4106407;-50,60277778;-23,15277778;2,46930579457575e-06;25;2,38322646579335e-06;34;2;2;0;24;24;0;"YES";"NO";24;0
"126";"SSCT";"PR";4105508;-52,64222222;-23,69166667;0,000730768752842058;2;0,000715168919708382;1;3;3;0;27;27;0;"YES";"NO";27;0
"127";"SSFB";"PR";4108403;-53,06349945;-26,05920029;0,000114470381165235;26;0,000111999121929314;35;3;3;0;26;26;0;"YES";"NO";26;0
"128";"SSGG";"PR";4109401;-51,52019882;-25,38750076;0,000129424458160824;27;0,000127235958844574;1;2;2;0;6;6;0;"YES";"NO";6;0
"129";"SSGY";"PR";4108809;-54,18805556;-24,07972222;0,000674278160765616;2;0,000659887992159157;1;3;3;0;26;26;0;"YES";"NO";26;0
"130";"SSKM";"PR";4104303;-52,357;-24,009;0,00106760708787889;2;0,001044822654252;1;3;3;0;36;36;0;"YES";"NO";36;0
"131";"SSKW";"RO";1100049;-61,4508;-11,496;0,000424132459093554;6;0,000418102866344015;8;2;2;0;52;52;0;"YES";"NO";52;0
"132";"SSOG";"PR";4101507;-51,49083333;-23,35583333;0,000674278160765616;2;0,000659887992159157;1;2;2;0;24;24;0;"YES";"NO";24;0
"133";"SSPG";"PR";4118204;-48,531;-25,54;0,00106760708787889;2;0,001044822654252;1;2;2;0;38;38;0;"YES";"NO";38;0
"134";"SSPI";"PR";4118402;-52,48444444;-23,09166667;0,000674278160765616;2;0,000659887992159157;1;2;2;0;24;24;0;"YES";"NO";24;0
"135";"SSSB";"RS";4318002;-56,03277778;-28,65305556;0,00109016323562304;2;0,00107243469413859;1;2;2;0;32;32;0;"YES";"NO";32;0
"136";"SSUV";"PR";4213609;-51,06888889;-26,24833333;0,0006746973633469;28;0,000660292479448295;36;4;4;0;49;49;0;"YES";"NO";49;0
"137";"SSVL";"PR";4127106;-50,65222222;-24,31638889;0,000730476354749308;29;0,000714886603164482;37;4;4;0;50;50;0;"YES";"NO";50;0
"138";"SSZR";"RS";4317202;-54,520401;-27,9067;0,00122643364007592;2;0,00120648903090591;1;2;2;0;36;36;0;"YES";"NO";36;0
"139";"SWCA";"AM";1301001;-66,89749908;-4,871520042;9,53980359983422e-05;5;9,55145873728857e-05;7;4;4;0;40;40;0;"YES";"NO";40;0
"140";"SWEI";"AM";1301407;-69,87979889;-6,639530182;1,29925471278605e-07;30;1,28346047187658e-07;38;2;2;0;4;4;0;"YES";"NO";4;0
"141";"SWFX";"MT";5107859;-50,6896019;-11,63239956;4,59535509280816e-07;31;4,46745366913364e-07;39;2;2;0;20;20;0;"YES";"NO";20;0
"142";"SWGN";"TO";1702109;-48,240501;-7,22787;0,00268427829753288;2;0,0026043249299273;3;2;2;0;62;62;0;"YES";"NO";62;0
"143";"SWHP";"MT";5100201;-52,152222;-14,019444;0,000163129163395514;32;0,000160810035848242;40;5;5;0;41;41;0;"YES";"NO";41;0
