ibge;Município;Região Turística;Domésticos;Internacionais;Estabelecimentos;Empregos;Arrecadação;Categoria;rank_turismo
2900108;Abaíra;Chapada Diamantina;0;0;2;5;;D;2
2900355;Adustina;Caminhos do Sertão;468;0;0;0;;D;2
2900702;Alagoinhas;Caminhos do Sertão;91.504;467;14;129;1.295.849;B;4
2900801;Alcobaça;Costa das Baleias;91.095;267;12;24;;C;3
2901007;Amargosa;Caminhos do Jiquiriçá;65.323;64;3;21;;C;3
2901304;Andaraí;Chapada Diamantina;4.326;1.691;3;19;;D;2
2902302;Aratuípe;Baía de Todos os Santos;0;0;0;0;;E;1
2902658;Banzaê;Caminhos do Sertão;0;0;0;0;;E;1
2902708;Barra;Caminhos do Oeste;8.866;137;2;3;;D;2
2902807;Barra da Estiva;Chapada Diamantina;0;207;2;15;;D;2
2903003;Barra do Mendes;Chapada Diamantina;0;0;0;0;;E;1
2903201;Barreiras;Caminhos do Oeste;182.508;1.563;29;292;993.389;B;4
2903409;Belmonte;Costa do Descobrimento;2.236;121;6;19;;D;2
2903904;Bom Jesus da Lapa;Caminhos do Oeste;221.079;1.002;26;122;611.142;B;4
2904001;Boninal;Chapada Diamantina;0;0;0;0;;E;1
2904050;Bonito;Chapada Diamantina;0;140;1;0;;D;2
2904506;Brotas de Macaúbas;Chapada Diamantina;0;0;1;6;;D;2
2904902;Cachoeira;Baía de Todos os Santos;31.752;1.746;9;53;;C;3
2905404;Cairu;Costa do Dendê;125.021;93.253;123;981;9.104.867;A;5
2905701;Camaçari;Costa dos Coqueiros;271.431;9.774;47;839;4.092.283;B;4
2905800;Camamu;Costa do Dendê;18.514;101;2;16;;D;2
2906006;Campo Formoso;Chapada Diamantina;17.635;237;4;32;;D;2
2906303;Canavieiras;Costa do Cacau;35.053;5.512;4;34;;C;3
2906501;Candeias;Baía de Todos os Santos;24.180;126;4;5;;D;2
2906824;Canudos;Caminhos do Sertão;14.505;108;1;1;;D;2
2906907;Caravelas;Costa das Baleias;14.349;373;4;19;;D;2
2907301;Castro Alves;Caminhos do Jiquiriçá;40.787;0;2;3;;D;2
2907608;Central;Chapada Diamantina;0;64;0;0;;D;2
2907905;Cipó;Caminhos do Sertão;5.919;352;1;0;;D;2
2908606;Conde;Costa dos Coqueiros;117.092;655;6;46;238.595;C;3
2909307;Correntina;Caminhos do Oeste;96.785;0;10;57;;C;3
2909802;Cruz das Almas;Caminhos do Jiquiriçá;53.601;267;8;54;;C;3
2909901;Curaçá;Vale do São Francisco;10.601;265;1;1;;D;2
2910057;Dias d'Ávila;Costa dos Coqueiros;41.879;95;5;13;;C;3
2910107;Dom Basílio;Chapada Diamantina;0;64;1;1;;D;2
2910206;Dom Macedo Costa;Caminhos do Jiquiriçá;0;0;1;12;;D;2
2910503;Entre Rios;Costa dos Coqueiros;80.148;209;12;68;670.559;C;3
2910602;Esplanada;Costa dos Coqueiros;59.828;66;9;60;315.843;C;3
2910701;Euclides da Cunha;Caminhos do Sertão;33.848;0;10;42;;C;3
2910800;Feira de Santana;Caminhos do Sertão;501.585;4.675;45;454;3.620.315;B;4
2911303;Gentio do Ouro;Chapada Diamantina;0;0;0;0;;E;1
2911808;Guaratinga;Costa do Descobrimento;0;0;0;0;;E;1
2912202;Ibicoara;Chapada Diamantina;0;116;2;1;;D;2
2913200;Ibotirama;Caminhos do Oeste;4.818;350;7;52;;C;3
2913457;Igrapiúna;Costa do Dendê;0;0;0;0;;E;1
2913507;Iguaí;Caminhos do Sudoeste;5.919;55;1;1;;D;2
2913606;Ilhéus;Costa do Cacau;469.795;9.781;55;1.073;9.180.149;A;5
2913903;Ipiaú;Costa do Cacau;44.064;275;7;42;214.342;C;3
2914307;Iramaia;Chapada Diamantina;0;0;0;0;;D;2
2914406;Iraquara;Chapada Diamantina;0;0;3;24;;D;2
2914505;Irará;Caminhos do Sertão;13.521;0;0;0;;D;2
2914703;Itaberaba;Chapada Diamantina;43.025;0;12;39;274.549;C;3
2914802;Itabuna;Costa do Cacau;141.288;2.553;24;231;1.602.683;B;4
2914901;Itacaré;Costa do Cacau;129.768;17.476;57;515;4.439.834;B;4
2915007;Itaeté;Chapada Diamantina;14.505;0;1;1;;D;2
2915601;Itamaraju;Costa das Baleias;21.303;123;5;27;167.168;D;2
2916005;Itanhém;Costa das Baleias;0;182;0;0;;D;2
2916104;Itaparica;Baía de Todos os Santos;245.038;8.740;5;19;;B;4
2916500;Itapicuru;Caminhos do Sertão;0;0;0;0;;E;1
2916856;Itatim;Caminhos do Jiquiriçá;33.591;502;1;5;;D;2
2917201;Ituaçu;Chapada Diamantina;0;259;1;1;;D;2
2917300;Ituberá;Costa do Dendê;10.600;66;3;11;;D;2
2917359;Jaborandi;Caminhos do Oeste;14.505;0;0;0;;D;2
2917508;Jacobina;Chapada Diamantina;54.477;849;14;85;793.292;C;3
2917904;Jandaíra;Costa dos Coqueiros;4.841;656;2;4;;D;2
2918001;Jequié;Caminhos do Sudoeste;232.370;501;19;166;707.352;B;4
2918209;Jiquiriçá;Caminhos do Jiquiriçá;20.065;35;1;5;;D;2
2918407;Juazeiro;Vale do São Francisco;198.335;1.297;20;134;637.248;B;4
2918605;Jussiape;Chapada Diamantina;6.782;0;1;2;;D;2
2919207;Lauro de Freitas;Costa dos Coqueiros;7.446;1.505;16;134;1.267.020;C;3
2919306;Lençóis;Chapada Diamantina;79.102;22.307;21;198;1.716.147;B;4
2919926;Madre de Deus;Baía de Todos os Santos;15.744;88;0;0;;D;2
2920502;Maracás;Caminhos do Sudoeste;14.505;120;2;22;;D;2
2920601;Maragogipe;Baía de Todos os Santos;82.328;182;3;7;;C;3
2920700;Maraú;Costa do Cacau;25.132;3.731;44;277;1.898.584;B;4
2921005;Mata de São João;Costa dos Coqueiros;228.922;80.017;58;6.171;103.063.849;A;5
2921203;Miguel Calmon;Chapada Diamantina;4.227;0;0;0;;D;2
2921302;Milagres;Caminhos do Jiquiriçá;32.508;104;3;11;;D;2
2921401;Mirangaba;Chapada Diamantina;0;245;0;0;;D;2
2921906;Mucugê;Chapada Diamantina;0;737;8;28;126.976;C;3
2922003;Mucuri;Costa das Baleias;87.456;1.356;19;72;708.793;B;4
2922201;Muniz Ferreira;Baía de Todos os Santos;0;0;0;0;;E;1
2922409;Mutuípe;Caminhos do Jiquiriçá;1.953;0;1;3;;D;2
2922508;Nazaré;Baía de Todos os Santos;15.275;0;2;8;;D;2
2922854;Nova Redenção;Chapada Diamantina;1.953;0;0;0;;D;2
2922854;Nova Redenção;Costa das Baleias;118.516;1.414;11;51;270.929;C;3
2923357;Ourolândia;Chapada Diamantina;0;0;0;0;;D;2
2923506;Palmeiras;Chapada Diamantina;6.033;2.655;9;30;263.206;C;3
2923605;Paramirim;Chapada Diamantina;0;104;0;0;;D;2
2923803;Paripiranga;Caminhos do Sertão;15.441;0;1;5;;D;2
2923902;Pau Brasil;Costa do Cacau;3.756;0;0;0;;D;2
2924009;Paulo Afonso;Lagos e Canyons do São Francisco;190.154;1.236;10;137;783.666;B;4
2924306;Piatã;Chapada Diamantina;0;182;1;0;;D;2
2924603;Pindobaçu;Chapada Diamantina;0;0;0;0;;E;1
2925303;Porto Seguro;Costa do Descobrimento;1.192.038;64.066;318;5.046;66.832.312;A;5
2925501;Prado;Costa das Baleias;76.429;1.506;49;273;2.344.797;B;4
2925931;Quixabeira;Chapada Diamantina;0;0;0;0;;E;1
2926004;Remanso;Vale do São Francisco;12.479;0;1;7;;D;2
2926707;Rio de Contas;Chapada Diamantina;0;95;6;35;;D;2
2927309;Salinas da Margarida;Baía de Todos os Santos;46.417;0;3;10;;C;3
2927408;Salvador;Baía de Todos os Santos;4.262.041;326.169;267;4.834;40.060.869;A;5
2927606;Santa Brígida;Lagos e Canyons do São Francisco;1.953;0;0;0;;D;2
2927705;Santa Cruz Cabrália;Costa do Descobrimento;13.831;976;27;365;2.793.553;B;4
2927903;Santa Inês;Caminhos do Jiquiriçá;14.505;0;1;1;;D;2
2928059;Santa Luzia;Costa do Cacau;5.697;130;0;0;;D;2
2928109;Santa Maria da Vitória;Caminhos do Oeste;33.995;220;5;34;;C;3
2928406;Santa Rita de Cássia;Caminhos do Oeste;23.034;0;0;0;;D;2
2928505;Santa Teresinha;Caminhos do Jiquiriçá;5.919;126;1;0;;D;2
2928604;Santo Amaro;Baía de Todos os Santos;40.012;222;5;22;;C;3
2928802;Santo Estêvão;Caminhos do Sertão;26.609;76;1;0;;D;2
2928901;São Desidério;Caminhos do Oeste;0;0;2;26;;D;2
2929008;São Félix;Baía de Todos os Santos;3.905;143;1;1;;D;2
2929057;São Félix do Coribe;Caminhos do Oeste;0;0;2;5;;D;2
2929206;São Francisco do Conde;Baía de Todos os Santos;22.377;76;1;3;;D;2
2929354;São José da Vitória;Costa do Cacau;9.668;0;0;0;;D;2
2929750;Saubara;Baía de Todos os Santos;132.714;0;1;3;;C;3
2929909;Seabra;Chapada Diamantina;2.345;46;14;41;372.065;C;3
2930105;Senhor do Bonfim;Chapada Diamantina;53.905;271;11;73;269.831;C;3
2930204;Sento Sé;Vale do São Francisco;0;0;0;0;;D;2
2930709;Simões Filho;Baía de Todos os Santos;53.174;106;2;8;;C;3
2930774;Sobradinho;Vale do São Francisco;2.444;0;4;14;;D;2
2931202;Taperoá;Costa do Dendê;1.031;0;0;0;;D;2
2931350;Teixeira de Freitas;Costa das Baleias;67.376;2.948;23;187;1.449.083;B;4
2931905;Tucano;Caminhos do Sertão;46.611;217;7;36;107.388;C;3
2932002;Uauá;Caminhos do Sertão;11.328;0;0;0;;D;2
2932101;Ubaíra;Caminhos do Jiquiriçá;5.919;0;1;2;;D;2
2932507;Una;Costa do Cacau;18.249;197;4;478;;B;4
2932705;Uruçuca;Costa do Cacau;36.253;263;7;61;;C;3
2932804;Utinga;Chapada Diamantina;6.699;0;1;4;;D;2
2932903;Valença;Costa do Dendê;123.168;1.689;27;100;506.061;B;4
2933174;Varzedo;Caminhos do Jiquiriçá;5.919;0;1;3;;D;2
2933208;Vera Cruz;Baía de Todos os Santos;139.602;456;13;362;126.844;B;4
2933307;Vitória da Conquista;Caminhos do Sudoeste;290.748;3.348;30;354;2.785.303;B;4
